"","Con","RM","OK"
"X1",0,3.33333333333333,5.95
"X2",0,2,1.7
"X3",0,4,2.5
"X4",0,4.66666666666667,2.5
"X5",0,3,2.2
"X6",1,1,3.05
"X7",1,4.33333333333333,4.15
"X8",0,1,1
"X9",0,1,1.1
"X10",1,5,5.75
"X11",1,2.33333333333333,2.1
"X12",1,4.33333333333333,4.2
"X13",0,3.66666666666667,2.5
"X14",0,3.33333333333333,3.6
"X15",1,1,2.55
"X16",1,3,3.65
"X17",0,2,2
"X18",0,2.33333333333333,2.1
"X19",1,1.33333333333333,1.1
"X20",0,4.33333333333333,1.8
"X21",1,1.33333333333333,4.1
"X22",1,2.66666666666667,3.65
"X23",0,1.66666666666667,1.15
"X24",0,2.33333333333333,1.85
"X25",0,3,3.3
"X26",1,3,3
"X27",1,1.33333333333333,1.75
"X28",1,2,1.9
"X29",0,1,4.45
"X30",0,1,1
"X31",1,1,1.2
"X32",0,1.33333333333333,3.9
"X33",1,3,2.85
"X34",0,1.33333333333333,1.3
"X35",1,3.33333333333333,3.95
"X36",0,4,4.1
"X37",0,1.66666666666667,1
"X38",0,1,2.35
"X39",1,3.33333333333333,2.55
"X40",0,3.66666666666667,2.3
"X41",1,1.66666666666667,1.6
"X42",0,2.66666666666667,3.45
"X43",1,2,3.7
"X44",1,3,2.85
"X45",1,3.33333333333333,4
"X46",1,2,1.65
"X47",0,2.33333333333333,1.35
"X48",1,2,1.95
"X49",0,1,1
"X50",1,3.33333333333333,3.85
"X51",0,1,1
"X52",0,2.33333333333333,4.05
"X53",0,1.66666666666667,5.05
"X54",1,2,2.3
"X55",1,2.66666666666667,2.15
"X56",0,1.66666666666667,1
"X57",0,1.33333333333333,1.7
"X58",1,2.66666666666667,1.8
"X59",1,3.66666666666667,2.5
"X60",0,2,2.3
"X61",1,1,1.55
"X62",1,4.33333333333333,4.35
"X63",0,2.66666666666667,1.15
"X64",1,6.33333333333333,5.9
"X65",0,2.66666666666667,1.95
"X66",1,3.33333333333333,4.45
"X67",0,1,1.1
"X68",0,1.33333333333333,1.9
"X69",1,2,3.25
"X70",0,1.66666666666667,2
"X71",0,1.33333333333333,1
"X72",1,1,2.5
"X73",1,4,4
"X74",0,2,1.3
"X75",0,1,1.6
"X76",1,5,2.95
"X77",0,2.33333333333333,2.25
"X78",1,2.66666666666667,4.75
"X79",0,2,1.85
"X80",1,2,2.3
"X81",1,2.33333333333333,2.55
"X82",0,1,1.35
"X83",1,5,4.15
"X84",0,2,1.95
"X85",1,3.33333333333333,1.75
"X86",0,2.66666666666667,3.9
"X87",1,2.66666666666667,2.2
"X88",1,5.33333333333333,3.8
"X89",0,1.66666666666667,1.15
"X90",1,2,1.7
"X91",0,2,4.4
"X92",1,3.33333333333333,1.8
"X93",0,7,3.05
"X94",1,2,3.45
"X95",0,1,1
"X96",0,2.66666666666667,4.45
"X97",1,1.33333333333333,1.25
"X98",0,2.33333333333333,3.5
"X99",1,2,2.55
"X100",0,1,1.2
"X101",1,2,2.05
"X102",0,1.66666666666667,1.25
"X103",1,3.33333333333333,2.9
"X104",1,2.66666666666667,2.25
"X105",1,1.66666666666667,1.95
"X106",0,2,1.05
"X107",0,3.66666666666667,3.7
"X108",1,1.66666666666667,1.8
"X109",0,3,4.05
"X110",1,2,1.65
"X111",1,3.33333333333333,2.3
"X112",0,5,2.1
"X113",1,2.33333333333333,3.2
"X114",0,1,1
"X115",0,1.33333333333333,2.3
"X116",0,1.33333333333333,1.8
"X117",1,1.66666666666667,1
"X118",1,5,2.4
"X119",0,2.66666666666667,2.25
"X120",1,4.33333333333333,4.25
"X121",1,3,2.55
"X122",0,1.66666666666667,1.25
"X123",1,2.66666666666667,1.95
"X124",1,5,3.6
"X125",0,1.33333333333333,3.9
"X126",1,1.66666666666667,3
"X127",0,1,7
"X128",1,5.33333333333333,3.35
"X129",1,4,3.5
"X130",0,5.33333333333333,2.75
"X131",0,1,4.35
"X132",1,4,2.4
"X133",0,2,1
"X134",1,2,2.65
"X135",0,2,1.8
"X136",1,3,1.15
"X137",1,2.66666666666667,2.15
"X138",0,2.66666666666667,2.65
"X139",1,3.66666666666667,4.2
"X140",0,3,1.95
"X141",1,4.33333333333333,5.6
"X142",0,1,3.1
"X143",1,2,2.35
"X144",0,1,2.65
"X145",0,1,1.25
"X146",1,1,1.7
"X147",0,2,1
"X148",1,2.66666666666667,3.05
