"","OK","RM","IN","Target"
"X1",4,3,4,0
"X2",3.8,2,4.33333333333333,1
"X3",2.2,4.66666666666667,5,0
"X4",1.35,1,1.66666666666667,1
"X5",3.85,4,4,0
"X6",2.7,4,1.66666666666667,0
"X7",3.95,4.66666666666667,3.66666666666667,1
"X8",1.75,2,1.33333333333333,0
"X9",4,4.33333333333333,3,1
"X10",4.1,2.66666666666667,3.66666666666667,1
"X11",3,2.33333333333333,3.33333333333333,1
"X12",4.1,4,2.66666666666667,1
"X13",4.6,5.33333333333333,2.66666666666667,0
"X14",4.1,3.66666666666667,4.33333333333333,1
"X15",4.05,2.33333333333333,1.66666666666667,0
"X16",4.25,4,4,0
"X17",1.95,2.66666666666667,2.66666666666667,0
"X18",1.6,2,2,1
"X19",1.9,3,1.33333333333333,0
"X20",4.65,3.33333333333333,2,0
"X21",3.25,3.33333333333333,2,0
"X22",1.8,1.33333333333333,3,1
"X23",1.9,2,2,0
"X24",1.5,2.66666666666667,3.66666666666667,1
"X25",2.6,3.33333333333333,3,0
"X26",4.25,7,3.66666666666667,0
"X27",2.15,2,3,1
"X28",1.5,1,3.66666666666667,0
"X29",1.75,1,1,0
"X30",4.85,2.33333333333333,2,1
"X31",3.75,5,2.33333333333333,1
"X32",4.6,3,2.66666666666667,0
"X33",1.85,7,1,0
"X34",2.3,1,3,1
"X35",5,4,3.33333333333333,1
"X36",4,3,2.33333333333333,1
"X37",1.75,2,4.33333333333333,1
"X38",1,1,1,0
"X39",4.55,1.33333333333333,1.33333333333333,0
"X40",1.8,1.66666666666667,2,1
"X41",1.25,6,2,0
"X42",4.1,3,2.66666666666667,0
"X43",2.5,1,4,1
"X44",3.95,3.33333333333333,4,1
"X45",4,3.33333333333333,2,1
"X46",1,3,4.66666666666667,1
"X47",1.15,3.33333333333333,1,0
"X48",4.2,1.33333333333333,4.66666666666667,0
"X49",3.4,2.66666666666667,4,0
"X50",5.25,3.66666666666667,3.66666666666667,1
"X51",1.9,2.33333333333333,2,1
"X52",4.6,2.66666666666667,3,0
"X53",4.7,4.66666666666667,5.33333333333333,1
"X54",6,3,3,1
"X55",4.6,1,1,1
"X56",6,7,4.66666666666667,1
"X57",3.8,6.33333333333333,5,0
"X58",4.6,1,1,0
"X59",3.95,3,5.66666666666667,1
"X60",3.2,1.66666666666667,2,0
"X61",2,2.33333333333333,1.66666666666667,0
"X62",1.75,1.66666666666667,1,0
"X63",4,4,1.66666666666667,1
"X64",2.6,7,1,0
"X65",2.3,1,3.33333333333333,1
"X66",3.45,5,4.33333333333333,0
"X67",1.9,4.66666666666667,2,0
"X68",3,2.66666666666667,3.66666666666667,1
"X69",1.25,1,1,0
"X70",1.45,7,1.33333333333333,0
"X71",2.3,3.33333333333333,5,1
"X72",1.2,1.66666666666667,2,0
"X73",1.8,3.66666666666667,5,1
"X74",5,6.33333333333333,4.66666666666667,1
"X75",1,1.33333333333333,2,0
"X76",2,1,1,0
"X77",4.8,4,2.66666666666667,1
"X78",1.5,1,1,1
"X79",1.75,1,3.66666666666667,1
"X80",1.4,2.33333333333333,2,1
"X81",3.8,1.33333333333333,2,1
"X82",4.25,4,3.33333333333333,1
"X83",4.5,3.33333333333333,2.33333333333333,1
"X84",4,3,2,1
"X85",3,6,1,0
"X86",3.75,1.33333333333333,2,1
"X87",1.35,1,2,1
"X88",5.65,3.33333333333333,2.66666666666667,0
"X89",3.35,3.33333333333333,4,1
"X90",5.55,1.66666666666667,1,0
"X91",2.3,3.33333333333333,2,0
"X92",2.75,1,1.66666666666667,1
"X93",5.35,5.33333333333333,4,1
"X94",2,1.33333333333333,3.66666666666667,1
"X95",2.8,1,1,1
"X96",2.05,1.33333333333333,2,0
"X97",1.4,1.33333333333333,1,0
"X98",4.6,2,2.33333333333333,0
"X99",2.15,2.33333333333333,3,1
"X100",3.25,3.33333333333333,3.66666666666667,1
"X101",1.4,1,1,0
"X102",2.3,1.33333333333333,2,1
"X103",1.5,2.66666666666667,1.33333333333333,0
"X104",6.25,4.66666666666667,2.33333333333333,1
"X105",1,1.33333333333333,4,1
"X106",1.35,1.33333333333333,1.33333333333333,0
"X107",3.95,4,4,1
"X108",5.5,7,2.33333333333333,0
"X109",3.95,3.33333333333333,1.66666666666667,1
"X110",2.3,1,2,1
"X111",3.35,6,2.66666666666667,0
"X112",4.55,2.66666666666667,3,1
"X113",2.7,3,3.66666666666667,1
"X114",4.7,3.66666666666667,3.66666666666667,1
"X115",4.35,7,1.66666666666667,0
"X116",1.05,3,1.66666666666667,0
"X117",1.2,1.66666666666667,1,0
"X118",3,3.66666666666667,2,0
"X119",1,2.33333333333333,1,0
"X120",1.7,1.33333333333333,1,0
"X121",2.5,3,1,0
"X122",4.85,5,3.66666666666667,1
"X123",4.05,4.66666666666667,5,0
"X124",3.9,1.66666666666667,2.33333333333333,0
"X125",5.25,3.33333333333333,3,1
"X126",1.8,5.33333333333333,3.33333333333333,0
"X127",2,3.33333333333333,1.33333333333333,1
"X128",5.2,3.66666666666667,4,1
"X129",2.5,2.33333333333333,1,0
"X130",3.85,3,4.33333333333333,1
"X131",1.3,4,1,0
"X132",4.2,3,2.66666666666667,1
"X133",1,2.33333333333333,1.66666666666667,0
"X134",2.1,1.33333333333333,1,0
"X135",1.6,2.33333333333333,3,1
"X136",3.1,3.33333333333333,2.33333333333333,1
"X137",4.6,2,5.33333333333333,1
"X138",2.8,1,1.33333333333333,1
"X139",3.2,7,2,0
"X140",2.5,2.33333333333333,2,0
"X141",1.2,3.66666666666667,2,0
"X142",4.3,6.33333333333333,7,1
"X143",4.25,4.66666666666667,3.33333333333333,0
"X144",3.15,3,1.66666666666667,0
"X145",1,1,1.66666666666667,0
"X146",3.85,1.33333333333333,1,0
"X147",1.15,1,1,0
"X148",2.95,5.66666666666667,1.66666666666667,0
"X149",3.75,5.66666666666667,2.33333333333333,0
"X150",3.6,3.66666666666667,3,0
"X151",2.75,1.33333333333333,1,1
"X152",2.05,2.33333333333333,2.33333333333333,0
"X153",4,6.66666666666667,1.66666666666667,0
"X154",1.1,2,1,1
"X155",2.55,3.66666666666667,4.33333333333333,1
"X156",4.05,3.33333333333333,2.33333333333333,1
"X157",4.55,5.33333333333333,4.66666666666667,1
"X158",4.55,6,2,1
"X159",2.35,1.66666666666667,1.66666666666667,0
"X160",2.75,2,2.66666666666667,1
"X161",5.25,6,3,1
"X162",4.9,2.33333333333333,2,1
"X163",2.6,1.66666666666667,1,0
"X164",5.5,3.33333333333333,2,1
"X165",4.25,4.33333333333333,3.66666666666667,1
"X166",3.45,3,2,0
"X167",3.3,3.33333333333333,2.33333333333333,0
"X168",1,1,1,0
"X169",5.05,4.66666666666667,4,1
"X170",4.5,4.33333333333333,3.66666666666667,1
"X171",2.9,2.33333333333333,2.66666666666667,1
"X172",3.55,2.33333333333333,2.33333333333333,1
"X173",4.3,1.33333333333333,2.33333333333333,0
"X174",1,1,2.33333333333333,0
"X175",6.2,4.66666666666667,2.33333333333333,1
"X176",4.45,3.33333333333333,2.33333333333333,1
"X177",1.5,3.33333333333333,2,0
"X178",1.3,2.33333333333333,2,0
"X179",2.6,1.33333333333333,1,1
"X180",4.9,6.33333333333333,6,1
"X181",2.7,2.33333333333333,2.66666666666667,0
"X182",5.35,1.33333333333333,1,0
"X183",2.4,2.33333333333333,2,0
"X184",2.5,4.66666666666667,4.33333333333333,1
"X185",3.15,2.66666666666667,2,0
"X186",2,7,1,0
"X187",5.6,1,2,0
"X188",1.5,3.33333333333333,1.33333333333333,0
"X189",4.1,4.33333333333333,4,1
"X190",3.5,3,2,1
"X191",4.7,5,1.66666666666667,1
"X192",1.65,1.66666666666667,3,0
"X193",1,1,1,0
"X194",3.2,2,3.66666666666667,1
"X195",1.65,1.33333333333333,1,0
"X196",4.55,7,2.33333333333333,0
"X197",5.85,4.66666666666667,2.33333333333333,1
"X198",3.2,3,3,1
"X199",1.6,4,1.66666666666667,0
"X200",2.25,2,1.66666666666667,0
"X201",3.4,1.66666666666667,2,0
"X202",2.4,2.66666666666667,2,0
"X203",3.15,2.33333333333333,2.33333333333333,1
"X204",3.5,2.33333333333333,1.66666666666667,1
"X205",3.8,1,2.33333333333333,1
"X206",4.5,3.33333333333333,3.66666666666667,0
"X207",4.1,3.66666666666667,4.33333333333333,1
"X208",2.5,4.66666666666667,2.66666666666667,0
"X209",3.1,2,2.33333333333333,0
"X210",2.75,2.33333333333333,1.66666666666667,0
"X211",1.75,1,1,0
"X212",4.2,2.66666666666667,4,1
"X213",2.25,1.66666666666667,2,0
"X214",1.8,1,1.66666666666667,0
"X215",3.55,4.33333333333333,2,0
"X216",5.55,1,1,0
"X217",1,2.33333333333333,2,1
"X218",2.35,1.33333333333333,1,0
"X219",2.7,3.33333333333333,2,1
"X220",3.2,3.33333333333333,2,1
"X221",2.5,2,3.33333333333333,1
"X222",3.7,2.33333333333333,1,0
