"","R1_1","R1_2","R1_3","R1_4","R2_1","R2_2","R2_3","R2_4","R3_1","R3_2","R3_3","R3_4","R5_1","R5_2","R5_3","R5_4.","R6_1","R6_2","R6_3","R6_4","B1_1","B1_2","B1_3","B1_4","B2_1","B2_2","B2_3","B2_4","B3_1","B3_2","B3_3","B3_4","B5_1","B5_2","B5_3","B5_4.","B6_1","B6_2","B6_3","B6_4","BlkRacismMini_8","BlkRacismMini_9","BlkRacismMini_10","NtvRacismMini_8","NtvRacismMini_9","NtvRacismMini_10","NtvContemporaryInvis_1","NtvContemporaryInvis_2","NtvContemporaryInvis_3","BlkContemporaryInvis_1","BlkContemporaryInvis_2","BlkContemporaryInvis_3","Target"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,2,5,3,4,2,5,2,6,2,6,4,5,3,5,2,6,4,5,3,3,3,NA,NA,NA,NA,NA,NA,3,6,3,0
"2",2,5,2,1,3,5,4,5,2,5,4,5,3,5,4,4,3,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,6,3,NA,NA,NA,1
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5,4,2,1,2,2,3,3,2,5,1,2,1,1,1,2,1,1,5,3,6,NA,NA,NA,NA,NA,NA,4,5,6,0
"4",1,2,1,1,1,1,1,1,1,3,1,1,2,2,1,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,1,NA,NA,NA,1
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,1,2,6,4,4,6,4,4,4,4,4,6,3,4,5,5,3,4,3,5,NA,NA,NA,NA,NA,NA,3,4,5,0
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,2,3,5,4,NA,NA,NA,NA,NA,NA,1,2,2,0
"7",4,3,3,4,3,4,5,4,6,3,5,3,5,3,4,4,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,3,4,NA,NA,NA,1
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,4,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,0
"9",6,2,4,4,6,2,4,4,6,2,4,4,6,2,4,4,6,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,3,3,3,NA,NA,NA,1
"10",4,4,3,6,5,4,3,6,5,3,4,6,1,4,4,5,3,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,4,4,NA,NA,NA,1
