"","IN_S3","RM_S3Full","RM_S3Three","OK_S3","Study3rawdataset.Condition_S3"
"X1",3.83333333333333,3.9,3,4,0
"X2",3.83333333333333,3.4,2,3.8,1
"X3",4.33333333333333,3.9,4.66666666666667,2.2,0
"X4",2.33333333333333,4.2,1,1.35,1
"X5",4,3.7,4,3.85,0
"X6",2.5,4.4,4,2.7,0
"X7",3.83333333333333,4.2,4.66666666666667,3.95,1
"X8",2.16666666666667,2.4,2,1.75,0
"X9",3.66666666666667,4.2,4.33333333333333,4,1
"X10",3.33333333333333,3.2,2.66666666666667,4.1,1
"X11",3.16666666666667,4,2.33333333333333,3,1
"X12",2.83333333333333,3.6,4,4.1,1
"X13",2.5,5.3,5.33333333333333,4.6,0
"X14",4,4.2,3.66666666666667,4.1,1
"X15",2,1.9,2.33333333333333,4.05,0
"X16",3.83333333333333,3.7,4,4.25,0
"X17",3,2.8,2.66666666666667,1.95,0
"X18",2.83333333333333,3.6,2,1.6,1
"X19",1.66666666666667,3.6,3,1.9,0
"X20",2.66666666666667,4,3.33333333333333,4.65,0
"X21",2.16666666666667,3.6,3.33333333333333,3.25,0
"X22",4,3.5,1.33333333333333,1.8,1
"X23",2.83333333333333,2.1,2,1.9,0
"X24",3.83333333333333,4.4,2.66666666666667,1.5,1
"X25",3.66666666666667,3.9,3.33333333333333,2.6,0
"X26",3.5,6.4,7,4.25,0
"X27",3.66666666666667,3.1,2,2.15,1
"X28",3.66666666666667,1,1,1.5,0
"X29",1.33333333333333,1.6,1,1.75,0
"X30",3.83333333333333,3.9,2.33333333333333,4.85,1
"X31",3.33333333333333,4.6,5,3.75,1
"X32",2.66666666666667,4.1,3,4.6,0
"X33",1,6.7,7,1.85,0
"X34",4.66666666666667,4,1,2.3,1
"X35",4.16666666666667,4.4,4,5,1
"X36",2.33333333333333,3.6,3,4,1
"X37",5.16666666666667,4.3,2,1.75,1
"X38",1.16666666666667,1.1,1,1,0
"X39",1.5,1.9,1.33333333333333,4.55,0
"X40",2.83333333333333,4.1,1.66666666666667,1.8,1
"X41",2.66666666666667,6.2,6,1.25,0
"X42",2.83333333333333,4,3,4.1,0
"X43",4.83333333333333,4,1,2.5,1
"X44",4,3.5,3.33333333333333,3.95,1
"X45",2.83333333333333,3.2,3.33333333333333,4,1
"X46",5,4.3,3,1,1
"X47",1,2.7,3.33333333333333,1.15,0
"X48",4.16666666666667,2.1,1.33333333333333,4.2,0
"X49",4,4.3,2.66666666666667,3.4,0
"X50",3.83333333333333,4.4,3.66666666666667,5.25,1
"X51",3.5,4.4,2.33333333333333,1.9,1
"X52",3.66666666666667,1.7,2.66666666666667,4.6,0
"X53",5,4,4.66666666666667,4.7,1
"X54",3.16666666666667,3.4,3,6,1
"X55",3.5,3.7,1,4.6,1
"X56",5.33333333333333,3.6,7,6,1
"X57",5.83333333333333,4.3,6.33333333333333,3.8,0
"X58",1,1,1,4.6,0
"X59",5.66666666666667,4.1,3,3.95,1
"X60",2.83333333333333,2.9,1.66666666666667,3.2,0
"X61",1.66666666666667,1.8,2.33333333333333,2,0
