V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Name R3,Name R2,Name R1,Name B3,Name B2,Name B1,ResponseID,worktimeArray,tasktime,offTask,onTask,totalOnTask,totalOffTask,pageNo,perPagePT,ConsentForm,Consent,Q337,Gender,Gender_TEXT,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Race_7_TEXT,PixStatement,Q375,B1,B1_1,B1_2,B1_3,B1_4,B2,B2_1,B2_2,B2_3,B2_4,B3,B3_1,B3_2,B3_3,B3_4,TimerBlackInvis_1,TimerBlackInvis_2,TimerBlackInvis_3,TimerBlackInvis_4,BlackInvisibility_1,BlackInvisibility_2,BlackInvisibility_3,BlackInvisibility_4,BlackInvisibility_5,BlackInvisibility_6,BlackInvisibility_7,BlackInvisibility_8,TimerBlkConInvis_1,TimerBlkConInvis_2,TimerBlkConInvis_3,TimerBlkConInvis_4,BlkContemporaryInvis_1,BlkContemporaryInvis_2,BlkContemporaryInvis_3,BlkContemporaryInvis_4,BlkContemporaryInvis_5,BlkContemporaryInvis_6,TimerBlkRaceMini_1,TimerBlkRaceMini_2,TimerBlkRaceMini_3,TimerBlkRaceMini_4,BlkRacismMini_1,BlkRacismMini_2,BlkRacismMini_3,BlkRacismMini_4,BlkRacismMini_5,BlkRacismMini_6,BlkRacismMini_7,BlkRacismMini_8,BlkRacismMini_9,BlkRacismMini_10,TimerGovRep_1,TimerGovRep_2,TimerGovRep_3,TimerGovRep_4,BlkGovtRep_1,BlkGovtRep_2,BlkGovtRep_3,BlkGovtRep_4,BlkGovtRep_5,BlkGovtRep_6,BlkGovtRep_7,BlkGovtRep_8,BlkGovtRep_9,Q353,R1,R1_1,R1_2,R1_3,R1_4,R2,R2_1,R2_2,R2_3,R2_4,R3,R3_1,R3_2,R3_3,R3_4,TimerInvis_1,TimerInvis_2,TimerInvis_3,TimerInvis_4,NtvInvisibility_1,NtvInvisibility_2,NtvInvisibility_3,NtvInvisibility_4,NtvInvisibility_5,NtvInvisibility_6,NtvInvisibility_7,NtvInvisibility_8,TimerContempInvis_1,TimerContempInvis_2,TimerContempInvis_3,TimerContempInvis_4,NtvContemporaryInvis_1,NtvContemporaryInvis_2,NtvContemporaryInvis_3,NtvContemporaryInvis_4,NtvContemporaryInvis_5,NtvContemporaryInvis_6,TimerNtvRaceMini_1,TimerNtvRaceMini_2,TimerNtvRaceMini_3,TimerNtvRaceMini_4,NtvRacismMini_1,NtvRacismMini_2,NtvRacismMini_3,NtvRacismMini_4,NtvRacismMini_5,NtvRacismMini_6,NtvRacismMini_7,NtvRacismMini_8,NtvRacismMini_9,NtvRacismMini_10,TimerNGoveRep_1,TimerNGoveRep_2,TimerNGoveRep_3,TimerNGoveRep_4,NtvGovtRep_1,NtvGovtRep_2,NtvGovtRep_3,NtvGovtRep_4,NtvGovtRep_5,NtvGovtRep_6,NtvGovtRep_7,NtvGovtRep_8,NtvGovtRep_9,RFCommon,RFMediaCoverage,BFCommon,BFMediaCoverage,RFImportant,BFImportant,OE_Respond,SES,BorninUS,Q107,BornWhere,MovedtoUSAge,LongestState,LengthState,FatherUSBorn,MotherUSBorn,PrimaryCaretaker,PrimaryCaretaker_TEXT,PrimaryEd,SecondCaretaker,SecondCaretaker_TEXT,SecondEdu,Age,Religion,Religion_TEXT,Religiosity,LibCon,Q176,Debrief,MTurkCode,DO-BR-FL_466,DO-BR-FL_463,DO-BR-FL_459,DO-BR-FL_455,DO-BR-FL_451,DO-BR-FL_443,DO-BR-FL_285,DO-BR-FL_290,DO-BR-FL_376,DO-BR-FL_391,DO-BR-FL_401,DO-BR-FL_306,DO-BR-FL_381,DO-BR-FL_409,DO-BR-FL_415,DO-BR-FL_419,DO-BR-FL_428,DO-BR-FL_434,DO-BR-FL_439,DO-BL-Commonality,DO-BL-Importance,DO-Q-NtvInvisibility1,DO-Q-BlackInvis1,DO-Q-NtvRaceMini,DO-Q-BlkRaceMini,DO-Q-NtvInvisibility2,DO-Q-BlackInvis2,DO-Q-BlkGovRep,DO-Q-NtvGovRep,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Name R3,Name R2,Name R1,Name B3,Name B2,Name B1,ResponseID,worktimeArray,tasktime,offTask,onTask,totalOnTask,totalOffTask,pageNo,perPagePT,Please read over this consent form carefully and answer the item below.     RESEARCH SUBJECT INFO...,"After carefully reading the consent form, please select one of the following options:",These first questions are to assess whether you are eligible to participate in the following stud...,My gender identity is:,My gender identity is:-TEXT,What is your racial or ethnic background (check all that apply)?  -Asian/Pacific Islander American,What is your racial or ethnic background (check all that apply)?  -Black/African American,What is your racial or ethnic background (check all that apply)?  -White/Caucasian American,What is your racial or ethnic background (check all that apply)?  -Hispanic/Latino/American,What is your racial or ethnic background (check all that apply)?  -Middle Eastern American,What is your racial or ethnic background (check all that apply)?  -Native American/Alaska Native,What is your racial or ethnic background (check all that apply)?  -Other (please specify),What is your racial or ethnic background (check all that apply)?  -Other (please specify)-TEXT,In this study we aim to understand people’s perceptions of real world scenarios. Participants wil...,You were assigned to be presented scenarios about costumes.,${e://Field/Name%20B1} went to a Hawk's sports event. ${e://Field/Name%20B1} wore an African Amer...,Below are a number of statements regarding the previous scenario. Please read each one and indica...-It is acceptable for this person to dress like this.,Below are a number of statements regarding the previous scenario. Please read each one and indica...-Observers will react negatively towards this person for dressing like this.,Below are a number of statements regarding the previous scenario. Please read each one and indica...-This way of dressing is a positive representation of African American culture.,Below are a number of statements regarding the previous scenario. Please read each one and indica...-There are negative consequences for African Americans when people dress like this.,${e://Field/Name%20B2} is a part of their town's annual historical parade and chose to dress up a...,Below are a number of statements regarding the previous scneario. Please read each one and indica...-It is acceptable for this person to dress like this.,Below are a number of statements regarding the previous scneario. Please read each one and indica...-Observers will react negatively towards this person for dressing like this.,Below are a number of statements regarding the previous scneario. Please read each one and indica...-This way of dressing is a positive representation of African American culture.,Below are a number of statements regarding the previous scneario. Please read each one and indica...-There are negative consequences for African Americans when people dress like this.,${e://Field/Name%20B3} was invited to a costume party and dressed up as a gangsta. ...,Below are a number of statements regarding the previous scenario. Please read each one and indica...-It is acceptable for these people to dress like this.,Below are a number of statements regarding the previous scenario. Please read each one and indica...-Observers will react negatively towards these people for dressing like this.,Below are a number of statements regarding the previous scenario. Please read each one and indica...-This way of dressing is a positive representation of African American culture.,Below are a number of statements regarding the previous scenario. Please read each one and indica...-There are negative consequences for African Americans when people dress like this.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"For the following questions, please consider how frequently you have done them. If the question d...-As a student, aside from Black History Month, how often did you learn about African American topics in school?","For the following questions, please consider how frequently you have done them. If the question d...-How often do you pursue information to learn more about African Americans?","For the following questions, please consider how frequently you have done them. If the question d...-How often do you seek out new reports, either online or in print media about African Americans?","For the following questions, please consider how frequently you have done them. If the question d...-How often do you see news reports about African Americans, either online or in print media?","For the following questions, please consider how frequently you have done them. If the question d...-How often do you hear people directly talking about issues affecting African Americans and African American communities?","For the following questions, please consider how frequently you have done them. If the question d...-How often do you engage in conversations with others where you talk directly about issues affecting African Americans and African American communities?","For the following questions, please consider how frequently you have done them. If the question d...-How often do you watch films or television programs about African Americans?","For the following questions, please consider how frequently you have done them. If the question d...-How often do you decide to watch a film or television program because it is about African Americans?",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please indicate the extent to which you agree or disagree with the following statements:-There are hardly any African American people left in U.S. society.,Please indicate the extent to which you agree or disagree with the following statements:-There is a significant number of African American people who live in U.S. society today.,"Please indicate the extent to which you agree or disagree with the following statements:-In contemporary society, there are not any <em>real </em> African American individuals.",Please indicate the extent to which you agree or disagree with the following statements:-African people are invisible in contemporary society.,Please indicate the extent to which you agree or disagree with the following statements:-I rarely hear about African Americans in contemporary society.,Please indicate the extent to which you agree or disagree with the following statements:-I rarely think about African Americans in contemporary society.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please indicate the extent to which you agree or disagree with the following statements:-Hard working African Americans have an equal chance to become rich as hard working White Americans.,"Please indicate the extent to which you agree or disagree with the following statements:-Overall, African Americans receive lower quality social services (such as type of health care or day care) than Whites in the US.",Please indicate the extent to which you agree or disagree with the following statements:-African Americans have an equal chance of success as White Americans.,Please indicate the extent to which you agree or disagree with the following statements:-African Americans do not have the same opportunities as White people in the U.S.,Please indicate the extent to which you agree or disagree with the following statements:-White people in the U.S. have certain advantages over African Americans because of the color of their skin.,Please indicate the extent to which you agree or disagree with the following statements:-White people are more to blame for racial discrimination in the U.S. than African Americans.,Please indicate the extent to which you agree or disagree with the following statements:-African Americans have a higher chance of getting sent to prison than White Americans.,Please indicate the extent to which you agree or disagree with the following statements:-Racism against African Americans is a thing of the past.,Please indicate the extent to which you agree or disagree with the following statements:-Being of the African American race basically doesn't matter in society anymore.,Please indicate the extent to which you agree or disagree with the following statements:-Racial discrimination against African Americans is not common in society.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please indicate the extent to which you agree or disagree with the following statements:-The U.S. federal government sufficiently made up for historic wrongdoings towards African Americans.,Please indicate the extent to which you agree or disagree with the following statements:-Many African Americans receive government benefits or subsidies to make up for past inequalities.,Please indicate the extent to which you agree or disagree with the following statements:-The U.S. federal government made enough efforts to remedy social issues faced by African Americans.,Please indicate the extent to which you agree or disagree with the following statements:-Government leaders are not doing enough for African American communities.,Please indicate the extent to which you agree or disagree with the following statements:-Reparations have been paid to African Americans affected by past offenses.,Please indicate the extent to which you agree or disagree with the following statements:-The U.S federal government has taken ownership for their role in injustice toward African Americans.,Please indicate the extent to which you agree or disagree with the following statements:-African Americans have not been repaid for the inequalities they endured throughout history.,"Please indicate the extent to which you agree or disagree with the following statements:-There are government programs available for African Americans to receive adequate resources, assistance, and social services when needed.",Please indicate the extent to which you agree or disagree with the following statements:-African Americans continue to be impacted by inequalities their group experienced historically.,"You will be presented with another set of scenarios regarding costumes. As you did previously, pl...",${e://Field/Name%20R1} went to a Stinger's sports event. ${e://Field/Name%20R1} wore a Native Ame...,Below are a number of statements regarding the previous scenario. Please read each one and indica...-It is acceptable for this person to dress like this.,Below are a number of statements regarding the previous scenario. Please read each one and indica...-Observers will react negatively towards this person for dressing like this.,Below are a number of statements regarding the previous scenario. Please read each one and indica...-This way of dressing is a positive representation of Native American culture.,Below are a number of statements regarding the previous scenario. Please read each one and indica...-There are negative consequences for Native Americans when people dress like this.,${e://Field/Name%20R2} is a part of their town's annual historical parade and chose to dress up a...,Below are a number of statements regarding the previous scenario. Please read each one and indica...-It is acceptable for this person to dress like this.,Below are a number of statements regarding the previous scenario. Please read each one and indica...-Observers will react negatively towards this person for dressing like this.,Below are a number of statements regarding the previous scenario. Please read each one and indica...-This way of dressing is a positive representation of Native American culture.,Below are a number of statements regarding the previous scenario. Please read each one and indica...-There are negative consequences for Native Americans when people dress like this.,${e://Field/Name%20R3} was invited to a costume party and dressed up as a native. ...,Below are a number of statements regarding the previous scenario. Please read each one and indica...-It is acceptable for these people to dress like this.,Below are a number of statements regarding the previous scenario. Please read each one and indica...-Observers will react negatively towards these people for dressing like this.,Below are a number of statements regarding the previous scenario. Please read each one and indica...-This way of dressing is a positive representation of Native American culture.,Below are a number of statements regarding the previous scenario. Please read each one and indica...-There are negative consequences for Native Americans when people dress like this.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"For the following questions, please consider how frequently you have done them. If the question d...-As a student, aside from Native American Heritage Month, how often did you learn about Native American topics in school?","For the following questions, please consider how frequently you have done them. If the question d...-How often do you pursue information to learn more about Native Americans?","For the following questions, please consider how frequently you have done them. If the question d...-How often do you seek out new reports, either online or in print media about Native Americans?","For the following questions, please consider how frequently you have done them. If the question d...-How often do you see news reports about Native Americans, either online or in print media?","For the following questions, please consider how frequently you have done them. If the question d...-How often do you hear people directly talking about issues affecting Native Americans and Native American communities?","For the following questions, please consider how frequently you have done them. If the question d...-How often do you engage in conversations with others where you talk directly about issues affecting Native Americans and Native American communities?","For the following questions, please consider how frequently you have done them. If the question d...-How often do you watch films or television programs about Native Americans?","For the following questions, please consider how frequently you have done them. If the question d...-How often do you decide to watch a film or television program because it is about Native Americans?",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please indicate the extent to which you agree or disagree with the following statements:-There are hardly any Native American people left in U.S. society.,Please indicate the extent to which you agree or disagree with the following statements:-There is a significant number of Native American people who live in U.S. society today.,"Please indicate the extent to which you agree or disagree with the following statements:-In contemporary society, there are not any <em>real </em>Native American individuals.",Please indicate the extent to which you agree or disagree with the following statements:-Native people are invisible in contemporary society.,Please indicate the extent to which you agree or disagree with the following statements:-I rarely hear about Native Americans in contemporary society.,Please indicate the extent to which you agree or disagree with the following statements:-I rarely think about Native Americans in contemporary society.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please indicate the extent to which you agree or disagree with the following statements:-Hard working Native Americans have an equal chance to become rich as hard working White Americans.,"Please indicate the extent to which you agree or disagree with the following statements:-Overall, Native Americans receive lower quality social services (such as type of health care or day care) than Whites in the US.",Please indicate the extent to which you agree or disagree with the following statements:-Native Americans have an equal chance of success as White Americans.,Please indicate the extent to which you agree or disagree with the following statements:-Native Americans do not have the same opportunities as White people in the U.S.,Please indicate the extent to which you agree or disagree with the following statements:-White people in the U.S. have certain advantages over Native Americans because of the color of their skin.,Please indicate the extent to which you agree or disagree with the following statements:-White people are more to blame for racial discrimination in the U.S. than Native Americans.,Please indicate the extent to which you agree or disagree with the following statements:-Native Americans have a higher chance of getting sent to prison than White Americans.,Please indicate the extent to which you agree or disagree with the following statements:-Racism against Native Americans is a thing of the past.,Please indicate the extent to which you agree or disagree with the following statements:-Being of the Native American race basically doesn't matter in society anymore.,Please indicate the extent to which you agree or disagree with the following statements:-Racial discrimination against Native Americans is not common in society.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please indicate the extent to which you agree or disagree with the following statements:-The U.S. federal government sufficiently made up for historic wrongdoings towards Native Americans.,Please indicate the extent to which you agree or disagree with the following statements:-Many Native Americans receive government benefits or subsidies to make up for past inequality.,Please indicate the extent to which you agree or disagree with the following statements:-The U.S. federal government made enough efforts to remedy social issues faced by Native Americans.,Please indicate the extent to which you agree or disagree with the following statements:-Government leaders are not doing enough for Native American communities.,Please indicate the extent to which you agree or disagree with the following statements:-Reparations have been paid to Native Americans affected by past offenses.,Please indicate the extent to which you agree or disagree with the following statements:-The U.S federal government has taken ownership for their role in injustice toward Native Americans.,Please indicate the extent to which you agree or disagree with the following statements:-Native Americans have not been repaid for the inequalities they endured throughout history.,"Please indicate the extent to which you agree or disagree with the following statements:-There are government programs available for Native Americans to receive adequate resources, assistance and social services when needed.",Please indicate the extent to which you agree or disagree with the following statements:-Native Americans continue to be impacted by inequalities their group experienced historically.,"Reflecting on the past year, how often do you believe instances of Redface have occurred in socie...","Reflecting on the past year, how often have instances of Redface been covered in national media o...","Reflecting on the past year, how often do you believe instances of Blackface have occurred in soc...","Reflecting on the past year, how often have instances of Blackface been covered in national media...",How important do you think it is to address instances of Redface?,How important do you think it is to address instances of Blackface?,"Do you think people respond differently to instances of Redface and Blackface? If so, why? ",What is your highest level of education? ,Were you born in the US?   ,"If not born in the US, are you currently a US citizen?","If not born in the US, in which country were you born:","If not born in the US, how old were you when you moved to the US:",Please write the name of the state within the US that you have lived in the longest:,How long have you lived in that state (in years):,Was your father born in the United States?,Was your mother born in the United States?,Think of one of your primary caretakers growing up. Who are you thinking of?,Think of one of your primary caretakers growing up. Who are you thinking of?-TEXT,What is their highest level of education? ,Did you have a second caretaker growing up? Who are you thinking of?,Did you have a second caretaker growing up? Who are you thinking of?-TEXT,What is their highest level of education? ,What is your age (in years)?,What is your religious affiliation?,What is your religious affiliation?-TEXT,How religious are you?,"When you think about your political beliefs, how would you describe yourself in general?",In the space below provide any other information you would like to share with the research team. ,UNIVERSITY OF WASHINGTON DEBRIEFING FORM Perceptions and Attitudes of People   Principal Investig...,"To receive credit, please copy and paste the following code: ${e://Field/ResponseID}",Display Order: Block Randomizer FL_466,Display Order: Block Randomizer FL_463,Display Order: Block Randomizer FL_459,Display Order: Block Randomizer FL_455,Display Order: Block Randomizer FL_451,Display Order: Block Randomizer FL_443,Display Order: Block Randomizer FL_285,Display Order: Block Randomizer FL_290,Display Order: Block Randomizer FL_376,Display Order: Block Randomizer FL_391,Display Order: Block Randomizer FL_401,Display Order: Block Randomizer FL_306,Display Order: Block Randomizer FL_381,Display Order: Block Randomizer FL_409,Display Order: Block Randomizer FL_415,Display Order: Block Randomizer FL_419,Display Order: Block Randomizer FL_428,Display Order: Block Randomizer FL_434,Display Order: Block Randomizer FL_439,Display Order: Commonality,Display Order: Importance,"Display Order: For the following questions, please consider how frequently you have done them. If the question d...","Display Order: For the following questions, please consider how frequently you have done them. If the question d...",Display Order: Please indicate the extent to which you agree or disagree with the following statements:,Display Order: Please indicate the extent to which you agree or disagree with the following statements:,Display Order: Please indicate the extent to which you agree or disagree with the following statements:,Display Order: Please indicate the extent to which you agree or disagree with the following statements:,Display Order: Please indicate the extent to which you agree or disagree with the following statements:,Display Order: Please indicate the extent to which you agree or disagree with the following statements:,LocationLatitude,LocationLongitude,LocationAccuracy
R_1DIvDws1mucXHXS,Default Response Set,Anonymous,,,,1,4/20/2019 17:19,4/20/2019 17:20,1,Greg,Mathew,Allison,Todd,Emily,Wyatt,R_1DIvDws1mucXHXS,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_467,FL_464,FL_461,FL_456,FL_454,FL_444,,,,,,,,,,,,,,,,,,,,,,,,47.6631012,-122.3029022,-1
R_27I0GRrjkNoC3bD,Default Response Set,Anonymous,,,,1,4/20/2019 17:20,4/20/2019 17:23,1,Sarah,Carrie,Brett,Claire,Connor,Kristen,R_27I0GRrjkNoC3bD,,,,,,,,,1,,1,,,,,1,,,,,,1,,1,,,,,1,,,,,1,,,,,0,0,3.581,0,,,,,,,,,0,0,2.342,0,,,,,,,0,0,4.097,0,,,,,,,,,,,0,0,2.859,0,,,,,,,,,,1,1,,,,,1,,,,,1,,,,,0,0,12.1,0,,,,,,,,,0,0,4.29,0,,,,,,,0,0,3.26,0,,,,,,,,,,,0,0,2.718,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,FL_468,FL_465,FL_460,FL_457,FL_453,FL_445,FL_304,,,,,R3|R2|R1,Native Minimization|Native Gov Rep,B1|B3|B2,Black Minimization|Black Gov Rep,,,,,,,1|2|7|3|6|4|5|8,7|4|6|8|5|2|3|1,10|5|9|4|6|7|3|2|8|1,7|1|5|8|6|4|3|2|10|9,2|5|1|4|3|6,1|3|2|4|5|6,6|3|5|4|8|9|1|7|2,2|7|3|1|5|4|8|9|6,47.6631012,-122.3029022,-1
R_8joGNXWQJ1neD2F,Default Response Set,Anonymous,,,,1,4/29/2019 15:30,4/29/2019 15:33,1,Greg,Anne,Brett,Claire,Emily,Kristen,R_8joGNXWQJ1neD2F,,,,,,,,,1,,1,,,,,1,,,,,,1,,1,,,,,1,,,,,1,,,,,0,0,4.464,0,,,,,,,,,0,0,2.591,0,,,,,,,0,0,3.28,0,,,,,,,,,,,2.011,2.011,2.643,1,,,,,,,,,,,1,,,,,1,,,,,1,,,,,0,0,3.053,0,,,,,,,,,0,0,3.597,0,,,,,,,0,0,2.705,0,,,,,,,,,,,0,0,5.132,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,FL_467,FL_465,FL_460,FL_457,FL_454,FL_445,FL_418,,,,,,,,,R2|B1|R1|R3|B3|B2,FL_429|FL_430,Native Gov Rep|Native Minimization,Black Minimization|Black Gov Rep,BFCommon|RFCommon,BFImportant|RFImportant,5|8|4|2|7|1|3|6,1|7|8|3|6|2|5|4,3|5|9|6|2|7|4|8|1|10,4|5|1|8|10|2|7|9|3|6,4|1|2|5|3|6,5|3|1|2|4|6,1|6|5|3|8|7|4|2|9,4|2|3|1|5|9|7|8|6,47.6631012,-122.3029022,-1
R_2Cj5lxCdaE0Uf2G,Default Response Set,Anonymous,,,,1,4/30/2019 9:11,4/30/2019 9:14,1,Sarah,Anne,Brett,Todd,Emily,Kristen,R_2Cj5lxCdaE0Uf2G,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,,,,,1,,,,,1,,,,,0,0,4.632,0,,,,,,,,,0,0,3.55,0,,,,,,,0,0,3.06,0,,,,,,,,,,,0,0,6.057,0,,,,,,,,,,1,1,,,,,1,,,,,1,,,,,0,0,1.889,0,,,,,,,,,0,0,1.583,0,,,,,,,0,0,1.746,0,,,,,,,,,,,0,0,1.971,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,FL_468,FL_465,FL_460,FL_456,FL_454,FL_445,FL_288,B1|B3|B2,Black Minimization|Black Gov Rep,R2|R1|R3,Native Minimization|Native Gov Rep,,,,,,,,,BFMediaCoverage|BFCommon|RFMediaCoverage|RFCommon,RFImportant|BFImportant,1|7|2|8|3|5|4|6,1|5|3|8|7|6|4|2,10|8|6|7|2|3|5|4|1|9,1|3|9|10|2|4|5|7|6|8,4|2|1|3|5|6,5|4|2|3|1|6,3|8|6|1|5|2|7|4|9,8|4|1|9|3|2|7|6|5,38.6486969,-90.32969666,-1
R_3PiKUmoA3bqaY37,Default Response Set,Anonymous,,,,1,4/30/2019 9:16,4/30/2019 9:16,1,Greg,Mathew,Brett,Claire,Emily,Kristen,R_3PiKUmoA3bqaY37,,,,,,,,,1,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_467,FL_464,FL_460,FL_457,FL_454,FL_445,,,,,,,,,,,,,,,,,,,,,,,,38.6486969,-90.32969666,-1
R_27JWj5UzjTlbo6M,Default Response Set,Anonymous,,,,1,4/30/2019 9:49,4/30/2019 9:49,1,Greg,Mathew,Brett,Todd,Connor,Kristen,R_27JWj5UzjTlbo6M,"["" ,2.094""]",2,"["",-4.768,-1.017""]","[""  ,4.029,0.905,2.094""]",6,-5,2,"[""  ,-4.768,4.029,-1.017,0.905, PAGE BREAK ,2.094, PAGE BREAK ""]",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_467,FL_464,FL_460,FL_456,FL_453,FL_445,,,,,,,,,,,,,,,,,,,,,,,,38.6486969,-90.32969666,-1
R_1LzA7LOoRKwVt6D,Default Response Set,Anonymous,,,24.207.225.198,0,4/30/2019 9:56,4/30/2019 9:57,1,Greg,Mathew,Brett,Claire,Connor,Kristen,R_1LzA7LOoRKwVt6D,"["" ,9.134,-18.448,5.816""]",-4,"["",-18.448""]","[""  ,3.125,9.134,5.816""]",17,-18,2,"[""  ,3.125, PAGE BREAK ,9.134,-18.448,5.816, PAGE BREAK ""]",1,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_467,FL_464,FL_460,FL_457,FL_453,FL_445,,,,,,,,,,,,,,,,,,,,,,,,38.6486969,-90.32969666,-1
R_1FKve4nsXgja99E,Default Response Set,Anonymous,,,,1,4/30/2019 9:58,4/30/2019 9:58,1,Sarah,Mathew,Allison,Claire,Connor,Kristen,R_1FKve4nsXgja99E,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_468,FL_464,FL_461,FL_457,FL_453,FL_445,,,,,,,,,,,,,,,,,,,,,,,,38.6486969,-90.32969666,-1
R_27dH2vkJ9HPDuNG,Default Response Set,Anonymous,,,24.207.225.198,0,4/30/2019 9:57,4/30/2019 10:01,1,Sarah,Anne,Allison,Todd,Emily,Wyatt,R_27dH2vkJ9HPDuNG,"["" ,3.767""]",3,,"[""                              ,3.047,6.537,6.144,1.527,5.965,6.351,2.325,2.213,1.952,3.039,4.295,1.821,4.065,2.44,2.323,2.404,2.34,2.145,2.088,1.41,3.013,0.226,0.556,1.184,0.603,1.255,4.413,2.993,3.487,3.767""]",74,0,30,"[""                              ,3.047, PAGE BREAK ,6.537, PAGE BREAK ,6.144, PAGE BREAK ,1.527, PAGE BREAK ,5.965, PAGE BREAK ,6.351, PAGE BREAK ,2.325, PAGE BREAK ,2.213, PAGE BREAK ,1.952, PAGE BREAK ,3.039, PAGE BREAK ,4.295, PAGE BREAK ,1.821, PAGE BREAK ,4.065, PAGE BREAK ,2.44, PAGE BREAK ,2.323, PAGE BREAK ,2.404, PAGE BREAK ,2.34, PAGE BREAK ,2.145, PAGE BREAK ,2.088, PAGE BREAK ,1.41, PAGE BREAK ,3.013, PAGE BREAK ,0.226, PAGE BREAK ,0.556, PAGE BREAK ,1.184, PAGE BREAK ,0.603, PAGE BREAK ,1.255, PAGE BREAK ,4.413, PAGE BREAK ,2.993, PAGE BREAK ,3.487, PAGE BREAK ,3.767, PAGE BREAK ""]",1,1,1,2,,,,1,,,,,,1,1,1,,,,,1,,,,,1,,,,,2.338,2.338,2.346,1,,,,,,,,,2.274,2.274,2.281,1,,,,,,,2.084,2.084,2.099,1,,,,,,,,,,,2.029,2.029,2.049,1,,,,,,,,,,1,1,,,,,1,,,,,1,,,,,2.144,2.144,2.154,1,,,,,,,,,1.833,1.833,1.854,1,,,,,,,4.233,4.233,4.246,1,,,,,,,,,,,2.184,2.933,2.955,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,FL_468,FL_465,FL_461,FL_456,FL_454,FL_444,FL_304,,,,,R2|R1|R3,Native Gov Rep|Native Minimization,B1|B2|B3,Black Minimization|Black Gov Rep,,,,,BFMediaCoverage|RFMediaCoverage|BFCommon|RFCommon,RFImportant|BFImportant,7|6|5|1|4|8|3|2,8|1|5|3|4|6|7|2,5|1|10|9|7|6|3|4|2|8,10|2|1|3|6|8|7|4|9|5,4|5|2|1|3|6,2|3|1|5|4|6,1|9|5|4|7|6|2|3|8,8|1|6|2|7|9|5|3|4,38.6486969,-90.32969666,-1
