"","BFS4.comp","RFS4.comp","OKdiff","BRM","NRM","RMdiff","NIN","BIN","INdiff"
"X7",1,1,0,1,1,0,2.33333333333333,1.83333333333333,0.5
"X8",3.83333333333333,4.08333333333333,0.25,4,2.66666666666667,1.33333333333333,3.83333333333333,4.16666666666667,-0.333333333333333
"X9",4,4.25,0.25,5,3.33333333333333,1.66666666666667,3.66666666666667,4,-0.333333333333333
"X10",2.16666666666667,1.83333333333333,-0.333333333333333,1,1,0,1.16666666666667,1.83333333333333,-0.666666666666667
"X11",2.33333333333333,2.41666666666667,0.083333333333333,4.66666666666667,5.33333333333333,-0.666666666666666,3.83333333333333,3,0.833333333333333
"X12",3.25,5.5,2.25,3.33333333333333,5.66666666666667,-2.33333333333333,2.83333333333333,1.5,1.33333333333333
"X13",2,2.5,0.5,7,7,0,5.5,1,4.5
"X14",2,2,0,1,2.66666666666667,-1.66666666666667,3,1.16666666666667,1.83333333333333
"X15",4,3.91666666666667,-0.0833333333333335,4,3.66666666666667,0.333333333333333,4.16666666666667,3.66666666666667,0.5
"X16",3.91666666666667,3.83333333333333,-0.083333333333333,3.33333333333333,3,0.333333333333333,4.5,4.5,0
"X17",2.83333333333333,2.75,-0.0833333333333335,1,4.66666666666667,-3.66666666666667,4.33333333333333,2.66666666666667,1.66666666666667
"X18",1.66666666666667,2,0.333333333333333,1.66666666666667,2.33333333333333,-0.666666666666667,5.16666666666667,3.16666666666667,2
"X19",2.66666666666667,3.83333333333333,1.16666666666667,4,4,0,5.66666666666667,2.66666666666667,3
"X20",1.75,1.41666666666667,-0.333333333333333,1.33333333333333,2.33333333333333,-1,2.66666666666667,1.5,1.16666666666667
"X21",3.16666666666667,4.33333333333333,1.16666666666667,1.66666666666667,4,-2.33333333333333,3.66666666666667,1.16666666666667,2.5
"X22",3.16666666666667,3.16666666666667,0,2,2,0,3.83333333333333,2.5,1.33333333333333
"X23",2.5,3.5,1,5.66666666666667,4.33333333333333,1.33333333333333,3.83333333333333,4,-0.166666666666667
"X24",4.83333333333333,3.75,-1.08333333333333,4,4.66666666666667,-0.666666666666667,3.5,4.16666666666667,-0.666666666666667
"X25",1,1.25,0.25,1,1,0,3.33333333333333,1,2.33333333333333
"X26",5,4,-1,5.66666666666667,3.66666666666667,2,4,4.5,-0.5
"X27",2.66666666666667,3.83333333333333,1.16666666666667,3.66666666666667,4.33333333333333,-0.666666666666667,5.5,2.16666666666667,3.33333333333333
"X28",1.16666666666667,2.16666666666667,1,4.33333333333333,2.66666666666667,1.66666666666667,4.5,1.16666666666667,3.33333333333333
"X29",4.5,5,0.5,5,3.33333333333333,1.66666666666667,3.16666666666667,1.16666666666667,2
"X30",4,3.41666666666667,-0.583333333333333,3.66666666666667,3,0.666666666666667,3.83333333333333,2.66666666666667,1.16666666666667
"X31",2.75,3.41666666666667,0.666666666666667,3,4.33333333333333,-1.33333333333333,4.33333333333333,2.66666666666667,1.66666666666667
"X32",1.33333333333333,2.83333333333333,1.5,5,3,2,4.5,2.16666666666667,2.33333333333333
"X33",5.16666666666667,5.25,0.083333333333333,4.66666666666667,3.33333333333333,1.33333333333333,5,2.66666666666667,2.33333333333333
"X34",4.16666666666667,4.25,0.083333333333333,5,4.66666666666667,0.333333333333333,4.5,5,-0.5
"X35",2,2.58333333333333,0.583333333333333,2.66666666666667,3,-0.333333333333333,3.66666666666667,3.33333333333333,0.333333333333333
"X36",1.16666666666667,1,-0.166666666666667,1,1,0,4,1.66666666666667,2.33333333333333
"X37",3.75,4,0.25,3.66666666666667,4.66666666666667,-1,4.66666666666667,4.5,0.166666666666667
"X38",4,4,0,4,4.33333333333333,-0.333333333333333,4,4.5,-0.5
"X39",2.16666666666667,4.83333333333333,2.66666666666667,2.33333333333333,4.33333333333333,-2,6.16666666666667,1.5,4.66666666666667
"X40",3.91666666666667,4,0.0833333333333335,5,5,0,4.66666666666667,4.66666666666667,0
"X41",1,1.5,0.5,1,1,0,2.66666666666667,1.33333333333333,1.33333333333333
"X42",1.33333333333333,1.91666666666667,0.583333333333333,1,1,0,2,1.16666666666667,0.833333333333333
"X43",3.91666666666667,3.83333333333333,-0.083333333333333,2.66666666666667,3,-0.333333333333333,3.33333333333333,3,0.333333333333333
"X44",1.75,1.91666666666667,0.166666666666667,1.66666666666667,3,-1.33333333333333,3.83333333333333,2.16666666666667,1.66666666666667
"X45",4.25,5,0.75,1,1,0,3.16666666666667,1.5,1.66666666666667
"X46",1.25,1.83333333333333,0.583333333333333,1.66666666666667,2.66666666666667,-1,5.16666666666667,2.33333333333333,2.83333333333333
"X47",6,4,-2,7,7,0,4.16666666666667,5,-0.833333333333333
"X48",2.08333333333333,2,-0.0833333333333335,1,1,0,2.5,1.66666666666667,0.833333333333333
"X49",1.75,2.66666666666667,0.916666666666667,1.33333333333333,3.33333333333333,-2,4,1.33333333333333,2.66666666666667
"X50",3.83333333333333,3.16666666666667,-0.666666666666667,2.66666666666667,4.33333333333333,-1.66666666666667,4.33333333333333,4,0.333333333333333
"X51",2,2.25,0.25,4.33333333333333,4.66666666666667,-0.333333333333334,4.5,1.66666666666667,2.83333333333333
"X52",1,2,1,3.66666666666667,3.66666666666667,0,5.5,2,3.5
"X53",1.16666666666667,1.16666666666667,0,1,1,0,3.33333333333333,1.5,1.83333333333333
"X54",3.75,3.66666666666667,-0.0833333333333335,5,5,0,4.66666666666667,4.66666666666667,0
"X55",1.91666666666667,2.66666666666667,0.75,1,2,-1,4.33333333333333,1.16666666666667,3.16666666666667
"X56",3.41666666666667,4.41666666666667,1,3,4.33333333333333,-1.33333333333333,3.5,1.33333333333333,2.16666666666667
"X57",3.41666666666667,4.25,0.833333333333333,5.66666666666667,5.33333333333333,0.333333333333334,4.66666666666667,2,2.66666666666667
"X58",3.58333333333333,3.25,-0.333333333333333,3.33333333333333,4.66666666666667,-1.33333333333333,4.33333333333333,2,2.33333333333333
"X59",2.83333333333333,4.5,1.66666666666667,4.66666666666667,4.66666666666667,0,4.83333333333333,1.33333333333333,3.5
"X60",3.83333333333333,4.16666666666667,0.333333333333333,4.33333333333333,3.66666666666667,0.666666666666667,4.66666666666667,3,1.66666666666667
"X61",3.83333333333333,4.16666666666667,0.333333333333333,4,4.66666666666667,-0.666666666666667,4.83333333333333,3.66666666666667,1.16666666666667
"X62",1,1.33333333333333,0.333333333333333,1,1,0,3.66666666666667,1.66666666666667,2
"X63",4.08333333333333,7,2.91666666666667,3,4,-1,4,2.5,1.5
"X64",3.41666666666667,3.5,0.0833333333333335,2.66666666666667,2.66666666666667,0,5,3,2
"X65",3.83333333333333,4,0.166666666666667,5.66666666666667,6,-0.333333333333333,5.66666666666667,5.5,0.166666666666667
"X66",4.08333333333333,4,-0.083333333333333,3.33333333333333,4,-0.666666666666667,3.83333333333333,4,-0.166666666666667
"X67",4.66666666666667,4.66666666666667,0,4.33333333333333,3.33333333333333,1,4.66666666666667,4.33333333333333,0.333333333333334
"X68",3,3.5,0.5,2.66666666666667,3,-0.333333333333333,2,1.83333333333333,0.166666666666667
"X69",3.75,5.08333333333333,1.33333333333333,2.33333333333333,6.33333333333333,-4,2,2.83333333333333,-0.833333333333333
"X70",3.91666666666667,3.16666666666667,-0.75,3,4,-1,4.83333333333333,2.83333333333333,2
"X71",2.75,3,0.25,2.33333333333333,3.33333333333333,-1,4.5,1.5,3
"X72",3.25,4.16666666666667,0.916666666666667,2,2,0,3.66666666666667,2.16666666666667,1.5
"X73",2.91666666666667,5.58333333333333,2.66666666666667,1.66666666666667,6.33333333333333,-4.66666666666667,5,3.16666666666667,1.83333333333333
"X74",3,3.08333333333333,0.0833333333333335,1,2,-1,4.83333333333333,3,1.83333333333333
"X75",3.91666666666667,3.58333333333333,-0.333333333333333,2.66666666666667,3.33333333333333,-0.666666666666667,4,2.5,1.5
"X76",2.75,4.08333333333333,1.33333333333333,1.33333333333333,2,-0.666666666666667,4.16666666666667,2.5,1.66666666666667
"X77",3.58333333333333,4.08333333333333,0.5,7,7,0,4.66666666666667,2.66666666666667,2
"X78",1.5,3.5,2,2,3,-1,4.5,2,2.5
"X79",1.91666666666667,2,0.0833333333333333,1.33333333333333,1.33333333333333,0,3,2.66666666666667,0.333333333333333
"X80",1.08333333333333,1.08333333333333,0,3,2.33333333333333,0.666666666666667,2.16666666666667,1.5,0.666666666666667
"X81",1.33333333333333,2.08333333333333,0.75,1,1.33333333333333,-0.333333333333333,3.33333333333333,1.33333333333333,2
"X82",3.25,3.83333333333333,0.583333333333333,3.66666666666667,4.33333333333333,-0.666666666666667,3.33333333333333,2.33333333333333,1
"X83",2.66666666666667,2.75,0.0833333333333335,3.66666666666667,5,-1.33333333333333,4.66666666666667,1.16666666666667,3.5
"X84",4.16666666666667,4,-0.166666666666667,4,2.66666666666667,1.33333333333333,4,3.33333333333333,0.666666666666667
"X85",2.66666666666667,4.08333333333333,1.41666666666667,3.66666666666667,3.33333333333333,0.333333333333333,3.66666666666667,3.5,0.166666666666667
"X86",1.91666666666667,2.41666666666667,0.5,1,3.66666666666667,-2.66666666666667,3,3,0
"X87",1.16666666666667,1.75,0.583333333333333,2,2.33333333333333,-0.333333333333333,3.66666666666667,2.16666666666667,1.5
"X88",1,1,0,1,1,0,2.16666666666667,1.5,0.666666666666667
"X89",1.91666666666667,2.66666666666667,0.75,5.33333333333333,4,1.33333333333333,4,2.83333333333333,1.16666666666667
"X90",1.75,3.66666666666667,1.91666666666667,2.33333333333333,2.66666666666667,-0.333333333333333,2.83333333333333,1.16666666666667,1.66666666666667
"X91",1.75,1.83333333333333,0.0833333333333333,1.66666666666667,2.33333333333333,-0.666666666666667,3.5,1.16666666666667,2.33333333333333
"X92",4.16666666666667,4,-0.166666666666667,3.66666666666667,2.66666666666667,1,3.5,3.33333333333333,0.166666666666667
"X93",2.5,1.75,-0.75,1,1,0,2.83333333333333,1,1.83333333333333
"X94",1.91666666666667,3,1.08333333333333,2.66666666666667,2.66666666666667,0,3.5,2.33333333333333,1.16666666666667
"X95",1.5,3.91666666666667,2.41666666666667,5.66666666666667,6.66666666666667,-1,3.83333333333333,1.16666666666667,2.66666666666667
"X96",4.41666666666667,4.25,-0.166666666666667,4.66666666666667,6.33333333333333,-1.66666666666667,4.66666666666667,4,0.666666666666667
"X97",2.08333333333333,2.83333333333333,0.75,2,3,-1,3,1.66666666666667,1.33333333333333
"X98",2.16666666666667,3.41666666666667,1.25,3.33333333333333,2.33333333333333,1,4,2,2
"X99",5,7,2,7,7,0,4.5,1,3.5
"X100",2.5,4.66666666666667,2.16666666666667,4.33333333333333,5,-0.666666666666667,3.33333333333333,2.66666666666667,0.666666666666667
"X101",2.08333333333333,2.83333333333333,0.75,3,1,2,2.66666666666667,1,1.66666666666667
"X102",1.5,3.33333333333333,1.83333333333333,1,3.33333333333333,-2.33333333333333,3,1.5,1.5
"X103",1.58333333333333,2.08333333333333,0.5,1,2,-1,5,1,4
"X104",1.75,2.66666666666667,0.916666666666667,2.66666666666667,4.66666666666667,-2,6.66666666666667,1.16666666666667,5.5
"X105",4.25,4.25,0,1.33333333333333,1,0.333333333333333,2.83333333333333,1.5,1.33333333333333
"X106",2.33333333333333,4.25,1.91666666666667,4.66666666666667,4,0.666666666666667,3.66666666666667,1.5,2.16666666666667
"X107",2.66666666666667,3.5,0.833333333333333,2,4.66666666666667,-2.66666666666667,5.33333333333333,2.66666666666667,2.66666666666667
"X108",4.33333333333333,5,0.666666666666667,3.33333333333333,3.33333333333333,0,5.16666666666667,3.16666666666667,2
"X109",2,2.33333333333333,0.333333333333333,2,2,0,3.33333333333333,2,1.33333333333333
"X110",4.41666666666667,4.41666666666667,0,5,4.66666666666667,0.333333333333333,5,4.16666666666667,0.833333333333333
"X111",4.16666666666667,4.75,0.583333333333333,2,5,-3,6,2,4
"X112",1.41666666666667,2,0.583333333333333,2.33333333333333,2.66666666666667,-0.333333333333333,5.33333333333333,2.5,2.83333333333333
