"","RFOK","BFOK","BRM","NRM","BIN","NIN"
"X1",NA,NA,NA,NA,NA,NA
"X2",NA,NA,NA,NA,NA,NA
"X3",NA,NA,NA,NA,NA,NA
"X4",NA,NA,NA,NA,NA,NA
"X5",NA,NA,NA,NA,NA,NA
"X6",NA,NA,NA,NA,NA,NA
"X7",1,1,1,1,1.33333333333333,2
"X8",4.08333333333333,3.83333333333333,4,2.66666666666667,4.33333333333333,4
"X9",4.25,4,5,3.33333333333333,4,3.66666666666667
"X10",1.83333333333333,2.16666666666667,1,1,1.33333333333333,1.33333333333333
"X11",2.41666666666667,2.33333333333333,4.66666666666667,5.33333333333333,2.66666666666667,3.33333333333333
"X12",5.5,3.25,3.33333333333333,5.66666666666667,1,2.33333333333333
"X13",2.5,2,7,7,1,4.66666666666667
"X14",2,2,1,2.66666666666667,1,2
"X15",3.91666666666667,4,4,3.66666666666667,3.66666666666667,4
"X16",3.83333333333333,3.91666666666667,3.33333333333333,3,4.33333333333333,4
"X17",2.75,2.83333333333333,1,4.66666666666667,3.33333333333333,3.33333333333333
"X18",2,1.66666666666667,1.66666666666667,2.33333333333333,1.66666666666667,3.66666666666667
"X19",3.83333333333333,2.66666666666667,4,4,2.66666666666667,5.33333333333333
"X20",1.41666666666667,1.75,1.33333333333333,2.33333333333333,1.66666666666667,2.33333333333333
"X21",4.33333333333333,3.16666666666667,1.66666666666667,4,1.33333333333333,2
"X22",3.16666666666667,3.16666666666667,2,2,2,2
"X23",3.5,2.5,5.66666666666667,4.33333333333333,3.66666666666667,3.66666666666667
"X24",3.75,4.83333333333333,4,4.66666666666667,2.33333333333333,2.66666666666667
"X25",1.25,1,1,1,1,1.33333333333333
"X26",4,5,5.66666666666667,3.66666666666667,4,3.66666666666667
"X27",3.83333333333333,2.66666666666667,3.66666666666667,4.33333333333333,1,6
"X28",2.16666666666667,1.16666666666667,4.33333333333333,2.66666666666667,1,4.33333333333333
"X29",5,4.5,5,3.33333333333333,1.33333333333333,2.33333333333333
"X30",3.41666666666667,4,3.66666666666667,3,3.33333333333333,4.33333333333333
"X31",3.41666666666667,2.75,3,4.33333333333333,2.33333333333333,4.33333333333333
"X32",2.83333333333333,1.33333333333333,5,3,1.33333333333333,4.33333333333333
"X33",5.25,5.16666666666667,4.66666666666667,3.33333333333333,2.33333333333333,5.66666666666667
"X34",4.25,4.16666666666667,5,4.66666666666667,5,4.33333333333333
"X35",2.58333333333333,2,2.66666666666667,3,3,3
"X36",1,1.16666666666667,1,1,1,2.33333333333333
"X37",4,3.75,3.66666666666667,4.66666666666667,4.66666666666667,4.33333333333333
"X38",4,4,4,4.33333333333333,4.33333333333333,4
"X39",4.83333333333333,2.16666666666667,2.33333333333333,4.33333333333333,1,5.66666666666667
"X40",4,3.91666666666667,5,5,4,4.33333333333333
"X41",1.5,1,1,1,1,1.66666666666667
"X42",1.91666666666667,1.33333333333333,1,1,1,1.33333333333333
"X43",3.83333333333333,3.91666666666667,2.66666666666667,3,3.66666666666667,3.66666666666667
"X44",1.91666666666667,1.75,1.66666666666667,3,1.66666666666667,3
"X45",5,4.25,1,1,1,1
"X46",1.83333333333333,1.25,1.66666666666667,2.66666666666667,1,3.66666666666667
"X47",4,6,7,7,7,2.33333333333333
"X48",2,2.08333333333333,1,1,1,1
"X49",2.66666666666667,1.75,1.33333333333333,3.33333333333333,1,4
"X50",3.16666666666667,3.83333333333333,2.66666666666667,4.33333333333333,5,4.33333333333333
"X51",2.25,2,4.33333333333333,4.66666666666667,1,4
"X52",2,1,3.66666666666667,3.66666666666667,2,5.33333333333333
"X53",1.16666666666667,1.16666666666667,1,1,1,1.33333333333333
"X54",3.66666666666667,3.75,5,5,4.33333333333333,4.33333333333333
"X55",2.66666666666667,1.91666666666667,1,2,1,4
"X56",4.41666666666667,3.41666666666667,3,4.33333333333333,1.66666666666667,2.33333333333333
"X57",4.25,3.41666666666667,5.66666666666667,5.33333333333333,2.33333333333333,4
"X58",3.25,3.58333333333333,3.33333333333333,4.66666666666667,2,3.33333333333333
"X59",4.5,2.83333333333333,4.66666666666667,4.66666666666667,1,5
"X60",4.16666666666667,3.83333333333333,4.33333333333333,3.66666666666667,2.66666666666667,3.66666666666667
"X61",4.16666666666667,3.83333333333333,4,4.66666666666667,3.33333333333333,5.66666666666667
"X62",1.33333333333333,1,1,1,1.33333333333333,3.33333333333333
"X63",7,4.08333333333333,3,4,1.33333333333333,3.33333333333333
"X64",3.5,3.41666666666667,2.66666666666667,2.66666666666667,2.33333333333333,4.33333333333333
"X65",4,3.83333333333333,5.66666666666667,6,4.66666666666667,5
"X66",4,4.08333333333333,3.33333333333333,4,4,3.66666666666667
"X67",4.66666666666667,4.66666666666667,4.33333333333333,3.33333333333333,3.66666666666667,5
"X68",3.5,3,2.66666666666667,3,1.66666666666667,1.66666666666667
"X69",5.08333333333333,3.75,2.33333333333333,6.33333333333333,3,1
"X70",3.16666666666667,3.91666666666667,3,4,3.33333333333333,4.66666666666667
"X71",3,2.75,2.33333333333333,3.33333333333333,1.33333333333333,3
"X72",4.16666666666667,3.25,2,2,2,2
"X73",5.58333333333333,2.91666666666667,1.66666666666667,6.33333333333333,3,4.33333333333333
