"","BFS4.comp","RFS4.comp","OKdiff","BRM","NRM","RMdiff","NIN","BIN","INdiff","NRM_full","BRM_full"
"X7",1,1,0,1,1,0,2.33333333333333,1.83333333333333,0.5,1,1
"X8",3.83333333333333,4.08333333333333,0.25,4,2.66666666666667,1.33333333333333,3.83333333333333,4.16666666666667,-0.333333333333333,3.7,4.1
"X9",4,4.25,0.25,5,3.33333333333333,1.66666666666667,3.66666666666667,4,-0.333333333333333,3.4,4.6
"X10",2.16666666666667,1.83333333333333,-0.333333333333333,1,1,0,1.16666666666667,1.83333333333333,-0.666666666666667,1.6,1.6
"X11",2.33333333333333,2.41666666666667,0.083333333333333,4.66666666666667,5.33333333333333,-0.666666666666666,3.83333333333333,3,0.833333333333333,4.3,4.8
"X12",3.25,5.5,2.25,3.33333333333333,5.66666666666667,-2.33333333333333,2.83333333333333,1.5,1.33333333333333,6.1,5.5
"X13",2,2.5,0.5,7,7,0,5.5,1,4.5,6.5,7
"X14",2,2,0,1,2.66666666666667,-1.66666666666667,3,1.16666666666667,1.83333333333333,3.2,1.8
"X15",4,3.91666666666667,-0.0833333333333335,4,3.66666666666667,0.333333333333333,4.16666666666667,3.66666666666667,0.5,3.6,4.2
"X16",3.91666666666667,3.83333333333333,-0.083333333333333,3.33333333333333,3,0.333333333333333,4.5,4.5,0,3.7,4
"X17",2.83333333333333,2.75,-0.0833333333333335,1,4.66666666666667,-3.66666666666667,4.33333333333333,2.66666666666667,1.66666666666667,4.2,3.7
"X18",1.66666666666667,2,0.333333333333333,1.66666666666667,2.33333333333333,-0.666666666666667,5.16666666666667,3.16666666666667,2,2.4,2
"X19",2.66666666666667,3.83333333333333,1.16666666666667,4,4,0,5.66666666666667,2.66666666666667,3,4,4.1
"X20",1.75,1.41666666666667,-0.333333333333333,1.33333333333333,2.33333333333333,-1,2.66666666666667,1.5,1.16666666666667,2.7,2.1
"X21",3.16666666666667,4.33333333333333,1.16666666666667,1.66666666666667,4,-2.33333333333333,3.66666666666667,1.16666666666667,2.5,2.9,2.8
"X22",3.16666666666667,3.16666666666667,0,2,2,0,3.83333333333333,2.5,1.33333333333333,2,2
"X23",2.5,3.5,1,5.66666666666667,4.33333333333333,1.33333333333333,3.83333333333333,4,-0.166666666666667,3.7,4.2
